sample,year,cumulative_progress,progress_rate,bottleneck_stage
4,2037.0,28.783473260723905,3.0256698439627754,7.0
4,2038.0,31.934492418854187,3.1510191581302816,7.0
4,2039.0,35.205075191241946,3.2705827723877583,7.0
4,2040.0,38.58935071788136,3.384275526639415,7.0
4,2041.0,42.08140645246329,3.4920557345819336,7.0
4,2042.0,45.67532875640919,3.5939223039459045,7.0
4,2043.0,49.365240430272266,3.689911673863076,7.0
4,2044.0,53.14533504231994,3.780094612047674,7.0
4,2045.0,57.00990795696494,3.864572914644995,7.0
4,2046.0,60.95338400802105,3.943476051056111,7.0
4,2047.0,64.97034180284273,4.016957794821678,7.0
4,2048.0,69.05553468262612,4.085192879783397,7.0
4,2049.0,73.2039084009217,4.148373718295585,7.0
4,2050.0,77.37991341817019,4.176005017248481,8.0
5,2024.0,1.0,1.0,8.0
5,2025.0,2.172988394050039,1.1729883940500392,7.0
5,2026.0,3.5035824919451066,1.3305940978950679,7.0
5,2027.0,4.988910062396402,1.4853275704512945,7.0
5,2028.0,6.625402973924193,1.6364929115277915,7.0
5,2029.0,8.408869845440726,1.7834668715165332,7.0
5,2030.0,10.334570502937273,1.9257006574965472,7.0
5,2031.0,12.39729134561762,2.062720842680348,7.0
5,2032.0,14.591420730373565,2.1941293847559447,7.0
5,2033.0,16.911023504876077,2.319602774502511,7.0
5,2034.0,19.349913856336187,2.4388903514601084,7.0
5,2035.0,21.901725694343842,2.551811838007655,7.0
5,2036.0,24.559979850902447,2.6582541565586055,7.0
5,2037.0,27.318147457263517,2.75816760636107,7.0
5,2038.0,30.169708943536076,2.851561486272557,7.0
5,2039.0,33.10820820114572,2.938499257609649,7.0
5,2040.0,36.12730154770261,3.019093346556883,7.0
5,2041.0,39.22080123624128,3.093499688538674,7.0
5,2042.0,42.38271335361644,3.161912117375163,7.0
5,2043.0,45.60727005361743,3.224556700000987,7.0
5,2044.0,48.8889561667664,3.2816861131489743,7.0
5,2045.0,52.22253031865438,3.3335741518879796,7.0
5,2046.0,55.60304077017587,3.380510451521495,7.0
5,2047.0,59.02583626459911,3.4227954944232306,7.0
5,2048.0,62.48657222687036,3.4607359622712512,7.0
5,2049.0,65.98121270910434,3.4946404822339856,7.0
5,2050.0,69.5060285124644,3.5248158033600623,7.0
6,2024.0,1.0,1.0,8.0
6,2025.0,2.3326492956362737,1.3326492956362739,7.0
6,2026.0,3.960496762930893,1.6278474672946195,7.0
6,2027.0,5.87251119453266,1.9120144316017669,7.0
6,2028.0,8.055762672238606,2.1832514777059466,7.0
6,2029.0,10.49577103790241,2.4400083656638034,7.0
6,2030.0,13.176855995431763,2.681084957529354,7.0
6,2031.0,16.082481151276692,2.9056251558449286,7.0
6,2032.0,19.195584728585064,3.1131035773083737,7.0
6,2033.0,22.498890360655214,3.3033056320701504,7.0
6,2034.0,25.975192253075743,3.47630189242053,7.0
6,2035.0,29.60761006067581,3.6324178076000684,7.0
6,2036.0,33.37950889781735,3.771898837141541,8.0
6,2037.0,37.23145969340883,3.8519507955914776,8.0
6,2038.0,41.14916894974503,3.9177092563362046,8.0
